identity,chain_id,token,tx_hash,log_index,block_number,transaction_index,block_timestamp_utc,from,to,direction,amount_raw,amount_ake,receipt_status,receipt_success,receipt_log_verified,removed,transaction_from,transaction_to,transaction_target_explorer_label,counterparty,counterparty_role_name,counterparty_role_class,counterparty_role_source,counterparty_code_state_latest,classification,quote_recovery,fifo_consumed_lots,runtime_effect,alert_policy
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0x38dc5c7bd0b61a329496e5037a5f0c4e3f42ba99b863efbdbb74bf648cad2238:6,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0x38dc5c7bd0b61a329496e5037a5f0c4e3f42ba99b863efbdbb74bf648cad2238,6,108590961,1,2026-07-07T11:51:10+00:00,0x85401508c777321eed3018390408ad0ab2e087e5,0xdd3d3c05a672b8a1112e158cd2fc6f577c2b6e1f,outbound,2580000000000000000000000,2580000,1,True,True,False,0x85401508c777321eed3018390408ad0ab2e087e5,0x62ccef0b4545166f721caa9fee13c1d3767e27dc,OKX: DEX Router 2,0xdd3d3c05a672b8a1112e158cd2fc6f577c2b6e1f,,unlabeled_address,tracked_global_labels_no_match,code_present,dex_sell_with_same_receipt_quote_recovery,"[{""token"":""0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c"",""name"":""WBNB"",""log_index"":20,""from"":""0x33d285926c0d6b35bdf61d04cc77de60ce0bd5db"",""amount_raw"":50985491665413222,""amount"":""0.050985491665413222""},{""token"":""0x55d398326f99059ff775485246999027b3197955"",""name"":""BSC USDT"",""log_index"":23,""from"":""0x62ccef0b4545166f721caa9fee13c1d3767e27dc"",""amount_raw"":5447508020816875889385,""amount"":""5447.508020816875889385""}]","[{""lot_id"":""ake_common_receiver_6449_2083_9m"",""amount_raw"":2580000000000000000000000,""amount_ake"":""2580000""}]",none,report_only
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0x38dc5c7bd0b61a329496e5037a5f0c4e3f42ba99b863efbdbb74bf648cad2238:10,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0x38dc5c7bd0b61a329496e5037a5f0c4e3f42ba99b863efbdbb74bf648cad2238,10,108590961,1,2026-07-07T11:51:10+00:00,0x85401508c777321eed3018390408ad0ab2e087e5,0x7a7ad9aa93cd0a2d0255326e5fb145cec14997ff,outbound,24000000000000000000000000,24000000,1,True,True,False,0x85401508c777321eed3018390408ad0ab2e087e5,0x62ccef0b4545166f721caa9fee13c1d3767e27dc,OKX: DEX Router 2,0x7a7ad9aa93cd0a2d0255326e5fb145cec14997ff,,unlabeled_address,tracked_global_labels_no_match,code_present,dex_sell_with_same_receipt_quote_recovery,"[{""token"":""0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c"",""name"":""WBNB"",""log_index"":20,""from"":""0x33d285926c0d6b35bdf61d04cc77de60ce0bd5db"",""amount_raw"":50985491665413222,""amount"":""0.050985491665413222""},{""token"":""0x55d398326f99059ff775485246999027b3197955"",""name"":""BSC USDT"",""log_index"":23,""from"":""0x62ccef0b4545166f721caa9fee13c1d3767e27dc"",""amount_raw"":5447508020816875889385,""amount"":""5447.508020816875889385""}]","[{""lot_id"":""ake_common_receiver_6449_2083_9m"",""amount_raw"":24000000000000000000000000,""amount_ake"":""24000000""}]",none,report_only
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0x23700213a0850943900023f761a11f7fd428584772ce80816414b4470bb49130:2,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0x23700213a0850943900023f761a11f7fd428584772ce80816414b4470bb49130,2,108591015,1,2026-07-07T11:51:35+00:00,0x85401508c777321eed3018390408ad0ab2e087e5,0x7a7ad9aa93cd0a2d0255326e5fb145cec14997ff,outbound,3600000000000000000000000,3600000,1,True,True,False,0x85401508c777321eed3018390408ad0ab2e087e5,0x62ccef0b4545166f721caa9fee13c1d3767e27dc,OKX: DEX Router 2,0x7a7ad9aa93cd0a2d0255326e5fb145cec14997ff,,unlabeled_address,tracked_global_labels_no_match,code_present,dex_sell_with_same_receipt_quote_recovery,"[{""token"":""0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c"",""name"":""WBNB"",""log_index"":20,""from"":""0x33d285926c0d6b35bdf61d04cc77de60ce0bd5db"",""amount_raw"":19566514641162415,""amount"":""0.019566514641162415""},{""token"":""0x55d398326f99059ff775485246999027b3197955"",""name"":""BSC USDT"",""log_index"":23,""from"":""0x62ccef0b4545166f721caa9fee13c1d3767e27dc"",""amount_raw"":5469708732531928029735,""amount"":""5469.708732531928029735""}]","[{""lot_id"":""ake_common_receiver_6449_2083_9m"",""amount_raw"":3600000000000000000000000,""amount_ake"":""3600000""}]",none,report_only
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0x23700213a0850943900023f761a11f7fd428584772ce80816414b4470bb49130:6,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0x23700213a0850943900023f761a11f7fd428584772ce80816414b4470bb49130,6,108591015,1,2026-07-07T11:51:35+00:00,0x85401508c777321eed3018390408ad0ab2e087e5,0xdd3d3c05a672b8a1112e158cd2fc6f577c2b6e1f,outbound,2400000000000000000000000,2400000,1,True,True,False,0x85401508c777321eed3018390408ad0ab2e087e5,0x62ccef0b4545166f721caa9fee13c1d3767e27dc,OKX: DEX Router 2,0xdd3d3c05a672b8a1112e158cd2fc6f577c2b6e1f,,unlabeled_address,tracked_global_labels_no_match,code_present,dex_sell_with_same_receipt_quote_recovery,"[{""token"":""0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c"",""name"":""WBNB"",""log_index"":20,""from"":""0x33d285926c0d6b35bdf61d04cc77de60ce0bd5db"",""amount_raw"":19566514641162415,""amount"":""0.019566514641162415""},{""token"":""0x55d398326f99059ff775485246999027b3197955"",""name"":""BSC USDT"",""log_index"":23,""from"":""0x62ccef0b4545166f721caa9fee13c1d3767e27dc"",""amount_raw"":5469708732531928029735,""amount"":""5469.708732531928029735""}]","[{""lot_id"":""ake_common_receiver_6449_2083_9m"",""amount_raw"":2400000000000000000000000,""amount_ake"":""2400000""}]",none,report_only
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0x23700213a0850943900023f761a11f7fd428584772ce80816414b4470bb49130:10,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0x23700213a0850943900023f761a11f7fd428584772ce80816414b4470bb49130,10,108591015,1,2026-07-07T11:51:35+00:00,0x85401508c777321eed3018390408ad0ab2e087e5,0x7a7ad9aa93cd0a2d0255326e5fb145cec14997ff,outbound,24000000000000000000000000,24000000,1,True,True,False,0x85401508c777321eed3018390408ad0ab2e087e5,0x62ccef0b4545166f721caa9fee13c1d3767e27dc,OKX: DEX Router 2,0x7a7ad9aa93cd0a2d0255326e5fb145cec14997ff,,unlabeled_address,tracked_global_labels_no_match,code_present,dex_sell_with_same_receipt_quote_recovery,"[{""token"":""0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c"",""name"":""WBNB"",""log_index"":20,""from"":""0x33d285926c0d6b35bdf61d04cc77de60ce0bd5db"",""amount_raw"":19566514641162415,""amount"":""0.019566514641162415""},{""token"":""0x55d398326f99059ff775485246999027b3197955"",""name"":""BSC USDT"",""log_index"":23,""from"":""0x62ccef0b4545166f721caa9fee13c1d3767e27dc"",""amount_raw"":5469708732531928029735,""amount"":""5469.708732531928029735""}]","[{""lot_id"":""ake_common_receiver_6449_2083_9m"",""amount_raw"":24000000000000000000000000,""amount_ake"":""24000000""}]",none,report_only
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0xedfc51ee7c8d44df359a5b73e939a6276a3b8ed52ed0fc9c134df1f62e64a6e9:2,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0xedfc51ee7c8d44df359a5b73e939a6276a3b8ed52ed0fc9c134df1f62e64a6e9,2,108591054,1,2026-07-07T11:51:52+00:00,0x85401508c777321eed3018390408ad0ab2e087e5,0x7a7ad9aa93cd0a2d0255326e5fb145cec14997ff,outbound,3240000000000000000000000,3240000,1,True,True,False,0x85401508c777321eed3018390408ad0ab2e087e5,0x62ccef0b4545166f721caa9fee13c1d3767e27dc,OKX: DEX Router 2,0x7a7ad9aa93cd0a2d0255326e5fb145cec14997ff,,unlabeled_address,tracked_global_labels_no_match,code_present,dex_sell_with_same_receipt_quote_recovery,"[{""token"":""0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c"",""name"":""WBNB"",""log_index"":20,""from"":""0x33d285926c0d6b35bdf61d04cc77de60ce0bd5db"",""amount_raw"":26453791811189616,""amount"":""0.026453791811189616""},{""token"":""0x55d398326f99059ff775485246999027b3197955"",""name"":""BSC USDT"",""log_index"":23,""from"":""0x62ccef0b4545166f721caa9fee13c1d3767e27dc"",""amount_raw"":5460433786601144791767,""amount"":""5460.433786601144791767""}]","[{""lot_id"":""ake_common_receiver_6449_2083_9m"",""amount_raw"":3240000000000000000000000,""amount_ake"":""3240000""}]",none,report_only
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0xedfc51ee7c8d44df359a5b73e939a6276a3b8ed52ed0fc9c134df1f62e64a6e9:6,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0xedfc51ee7c8d44df359a5b73e939a6276a3b8ed52ed0fc9c134df1f62e64a6e9,6,108591054,1,2026-07-07T11:51:52+00:00,0x85401508c777321eed3018390408ad0ab2e087e5,0xdd3d3c05a672b8a1112e158cd2fc6f577c2b6e1f,outbound,2760000000000000000000000,2760000,1,True,True,False,0x85401508c777321eed3018390408ad0ab2e087e5,0x62ccef0b4545166f721caa9fee13c1d3767e27dc,OKX: DEX Router 2,0xdd3d3c05a672b8a1112e158cd2fc6f577c2b6e1f,,unlabeled_address,tracked_global_labels_no_match,code_present,dex_sell_with_same_receipt_quote_recovery,"[{""token"":""0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c"",""name"":""WBNB"",""log_index"":20,""from"":""0x33d285926c0d6b35bdf61d04cc77de60ce0bd5db"",""amount_raw"":26453791811189616,""amount"":""0.026453791811189616""},{""token"":""0x55d398326f99059ff775485246999027b3197955"",""name"":""BSC USDT"",""log_index"":23,""from"":""0x62ccef0b4545166f721caa9fee13c1d3767e27dc"",""amount_raw"":5460433786601144791767,""amount"":""5460.433786601144791767""}]","[{""lot_id"":""ake_common_receiver_6449_2083_9m"",""amount_raw"":2760000000000000000000000,""amount_ake"":""2760000""}]",none,report_only
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0xedfc51ee7c8d44df359a5b73e939a6276a3b8ed52ed0fc9c134df1f62e64a6e9:10,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0xedfc51ee7c8d44df359a5b73e939a6276a3b8ed52ed0fc9c134df1f62e64a6e9,10,108591054,1,2026-07-07T11:51:52+00:00,0x85401508c777321eed3018390408ad0ab2e087e5,0x7a7ad9aa93cd0a2d0255326e5fb145cec14997ff,outbound,24000000000000000000000000,24000000,1,True,True,False,0x85401508c777321eed3018390408ad0ab2e087e5,0x62ccef0b4545166f721caa9fee13c1d3767e27dc,OKX: DEX Router 2,0x7a7ad9aa93cd0a2d0255326e5fb145cec14997ff,,unlabeled_address,tracked_global_labels_no_match,code_present,dex_sell_with_same_receipt_quote_recovery,"[{""token"":""0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c"",""name"":""WBNB"",""log_index"":20,""from"":""0x33d285926c0d6b35bdf61d04cc77de60ce0bd5db"",""amount_raw"":26453791811189616,""amount"":""0.026453791811189616""},{""token"":""0x55d398326f99059ff775485246999027b3197955"",""name"":""BSC USDT"",""log_index"":23,""from"":""0x62ccef0b4545166f721caa9fee13c1d3767e27dc"",""amount_raw"":5460433786601144791767,""amount"":""5460.433786601144791767""}]","[{""lot_id"":""ake_common_receiver_6449_2083_9m"",""amount_raw"":24000000000000000000000000,""amount_ake"":""24000000""}]",none,report_only
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0x96f294e1d5f6ab197918401ab72c4123c6fdc40a0f5436d770dd20e77eeab0a6:477,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0x96f294e1d5f6ab197918401ab72c4123c6fdc40a0f5436d770dd20e77eeab0a6,477,108591095,84,2026-07-07T11:52:11+00:00,0x85401508c777321eed3018390408ad0ab2e087e5,0x7a7ad9aa93cd0a2d0255326e5fb145cec14997ff,outbound,3240000000000000000000000,3240000,1,True,True,False,0x85401508c777321eed3018390408ad0ab2e087e5,0x62ccef0b4545166f721caa9fee13c1d3767e27dc,OKX: DEX Router 2,0x7a7ad9aa93cd0a2d0255326e5fb145cec14997ff,,unlabeled_address,tracked_global_labels_no_match,code_present,dex_sell_with_same_receipt_quote_recovery,"[{""token"":""0x55d398326f99059ff775485246999027b3197955"",""name"":""BSC USDT"",""log_index"":507,""from"":""0x62ccef0b4545166f721caa9fee13c1d3767e27dc"",""amount_raw"":5459842473607714080387,""amount"":""5459.842473607714080387""}]","[{""lot_id"":""ake_common_receiver_6449_2083_9m"",""amount_raw"":3240000000000000000000000,""amount_ake"":""3240000""}]",none,report_only
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0x96f294e1d5f6ab197918401ab72c4123c6fdc40a0f5436d770dd20e77eeab0a6:481,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0x96f294e1d5f6ab197918401ab72c4123c6fdc40a0f5436d770dd20e77eeab0a6,481,108591095,84,2026-07-07T11:52:11+00:00,0x85401508c777321eed3018390408ad0ab2e087e5,0xdd3d3c05a672b8a1112e158cd2fc6f577c2b6e1f,outbound,2760000000000000000000000,2760000,1,True,True,False,0x85401508c777321eed3018390408ad0ab2e087e5,0x62ccef0b4545166f721caa9fee13c1d3767e27dc,OKX: DEX Router 2,0xdd3d3c05a672b8a1112e158cd2fc6f577c2b6e1f,,unlabeled_address,tracked_global_labels_no_match,code_present,dex_sell_with_same_receipt_quote_recovery,"[{""token"":""0x55d398326f99059ff775485246999027b3197955"",""name"":""BSC USDT"",""log_index"":507,""from"":""0x62ccef0b4545166f721caa9fee13c1d3767e27dc"",""amount_raw"":5459842473607714080387,""amount"":""5459.842473607714080387""}]","[{""lot_id"":""ake_common_receiver_6449_2083_9m"",""amount_raw"":2760000000000000000000000,""amount_ake"":""2760000""}]",none,report_only
