identity,chain_id,token,tx_hash,log_index,block_number,transaction_index,block_timestamp_utc,block_timestamp_beijing,block_timestamp_source,from,to,amount_raw,amount_ake,removed,receipt_status,receipt_success,receipt_log_verified,transaction_from,transaction_to,tx_nonce,tx_value_wei,gas_used,effective_gas_price,from_role_name,from_role_class,from_role_source,to_role_name,to_role_class,to_role_source,from_role_bucket,to_role_bucket,sender_projections,window_memberships,public_index_query_address,public_index_page,public_index_url,runtime_effect,alert_policy,economic_sale_inference
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0x29ff993baa0c59b6c06a7eeefd80162859fae1139d9ca2d65eef06df806b2c48:6,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0x29ff993baa0c59b6c06a7eeefd80162859fae1139d9ca2d65eef06df806b2c48,6,92029099,5,2026-04-12T03:12:15.500Z,2026-04-12T11:12:15.500+08:00,milliTimestamp,0x42152339e5151dd5dd1b653c838563d188f67c2b,0xd49ef7def42f4633cd55cb874e016a570ea99f04,100000000000000000000000000,100000000,False,1,True,True,0x42152339e5151dd5dd1b653c838563d188f67c2b,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,7,0,54542,50000000,,unlabeled_address,tracked_global_labels_no_match,,reviewed_sender_unlabeled,tracked_global_labels_no_match,unlabeled,unlabeled,ake_2026_07_05_822_99m:inbound,ake_2026_07_05_822_99m:pre90,0xd49ef7def42f4633cd55cb874e016a570ea99f04,1,https://bscscan.com/tokentxns?a=0xd49ef7def42f4633cd55cb874e016a570ea99f04&p=1&ps=100,none,report_only,False
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0xb2847b5ef7d368a6bd45c4310a9f4a5c7694df48f92fa03e494c0e137c9cf429:251,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0xb2847b5ef7d368a6bd45c4310a9f4a5c7694df48f92fa03e494c0e137c9cf429,251,92029897,47,2026-04-12T03:18:14.600Z,2026-04-12T11:18:14.600+08:00,milliTimestamp,0xd49ef7def42f4633cd55cb874e016a570ea99f04,0x73d8bd54f7cf5fab43fe4ef40a62d390644946db,100000000000000000000000000,100000000,False,1,True,True,0xd49ef7def42f4633cd55cb874e016a570ea99f04,0x73d8bd54f7cf5fab43fe4ef40a62d390644946db,248,0,74156,53485953,,reviewed_sender_unlabeled,tracked_global_labels_no_match,Binance Alpha 2.0 Proxy/Custody,exchange_aggregator,config/global_address_labels.json,unlabeled,alpha_custody_or_router,ake_2026_07_05_822_99m:outbound,ake_2026_07_05_822_99m:pre90,0xd49ef7def42f4633cd55cb874e016a570ea99f04,1,https://bscscan.com/tokentxns?a=0xd49ef7def42f4633cd55cb874e016a570ea99f04&p=1&ps=100,none,report_only,False
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0x34afdd79005a109910351b98bd0417e7eac68dcfd2dfb334c1cdfa89088c7f7b:58,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0x34afdd79005a109910351b98bd0417e7eac68dcfd2dfb334c1cdfa89088c7f7b,58,92089223,14,2026-04-12T10:43:50.450Z,2026-04-12T18:43:50.450+08:00,milliTimestamp,0x42152339e5151dd5dd1b653c838563d188f67c2b,0xd49ef7def42f4633cd55cb874e016a570ea99f04,300000000000000000000000000,300000000,False,1,True,True,0x42152339e5151dd5dd1b653c838563d188f67c2b,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,9,0,54542,50000000,,unlabeled_address,tracked_global_labels_no_match,,reviewed_sender_unlabeled,tracked_global_labels_no_match,unlabeled,unlabeled,ake_2026_07_05_822_99m:inbound,ake_2026_07_05_822_99m:pre90,0xd49ef7def42f4633cd55cb874e016a570ea99f04,1,https://bscscan.com/tokentxns?a=0xd49ef7def42f4633cd55cb874e016a570ea99f04&p=1&ps=100,none,report_only,False
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0x09453d3c45a77923d63209d5b75ed85065b7110094a8945c48d26f7d1dc53411:160,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0x09453d3c45a77923d63209d5b75ed85065b7110094a8945c48d26f7d1dc53411,160,92090018,39,2026-04-12T10:49:48.450Z,2026-04-12T18:49:48.450+08:00,milliTimestamp,0xd49ef7def42f4633cd55cb874e016a570ea99f04,0x73d8bd54f7cf5fab43fe4ef40a62d390644946db,300000000000000000000000000,300000000,False,1,True,True,0xd49ef7def42f4633cd55cb874e016a570ea99f04,0x73d8bd54f7cf5fab43fe4ef40a62d390644946db,249,0,74168,54951057,,reviewed_sender_unlabeled,tracked_global_labels_no_match,Binance Alpha 2.0 Proxy/Custody,exchange_aggregator,config/global_address_labels.json,unlabeled,alpha_custody_or_router,ake_2026_07_05_822_99m:outbound,ake_2026_07_05_822_99m:pre90,0xd49ef7def42f4633cd55cb874e016a570ea99f04,1,https://bscscan.com/tokentxns?a=0xd49ef7def42f4633cd55cb874e016a570ea99f04&p=1&ps=100,none,report_only,False
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0xf7ceb24be5bd36d4cff6e4dac5fa356c73690a83c3b05381ed554ba666114c42:155,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0xf7ceb24be5bd36d4cff6e4dac5fa356c73690a83c3b05381ed554ba666114c42,155,92253184,24,2026-04-13T07:15:21.400Z,2026-04-13T15:15:21.400+08:00,milliTimestamp,0x68f2f7d2035b44094aad37140f6640c9bca5b6d6,0xd49ef7def42f4633cd55cb874e016a570ea99f04,500000000000000000000000000,500000000,False,1,True,True,0x68f2f7d2035b44094aad37140f6640c9bca5b6d6,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,2,0,54554,50000000,,unlabeled_address,tracked_global_labels_no_match,,reviewed_sender_unlabeled,tracked_global_labels_no_match,unlabeled,unlabeled,ake_2026_07_05_822_99m:inbound,ake_2026_07_05_822_99m:pre90,0xd49ef7def42f4633cd55cb874e016a570ea99f04,1,https://bscscan.com/tokentxns?a=0xd49ef7def42f4633cd55cb874e016a570ea99f04&p=1&ps=100,none,report_only,False
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0x049d1719083cdadf25d7baa0c566d200c189ca61514552471b89dc433c826527:484,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0x049d1719083cdadf25d7baa0c566d200c189ca61514552471b89dc433c826527,484,92253691,69,2026-04-13T07:19:11.150Z,2026-04-13T15:19:11.150+08:00,milliTimestamp,0xd49ef7def42f4633cd55cb874e016a570ea99f04,0x73d8bd54f7cf5fab43fe4ef40a62d390644946db,500000000000000000000000000,500000000,False,1,True,True,0xd49ef7def42f4633cd55cb874e016a570ea99f04,0x73d8bd54f7cf5fab43fe4ef40a62d390644946db,250,0,74180,52426133,,reviewed_sender_unlabeled,tracked_global_labels_no_match,Binance Alpha 2.0 Proxy/Custody,exchange_aggregator,config/global_address_labels.json,unlabeled,alpha_custody_or_router,ake_2026_07_05_822_99m:outbound,ake_2026_07_05_822_99m:pre90,0xd49ef7def42f4633cd55cb874e016a570ea99f04,1,https://bscscan.com/tokentxns?a=0xd49ef7def42f4633cd55cb874e016a570ea99f04&p=1&ps=100,none,report_only,False
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0xf59ebb0cdb594becf28407a046a8322ef788080841671e52d52362d680cc2833:107,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0xf59ebb0cdb594becf28407a046a8322ef788080841671e52d52362d680cc2833,107,92262316,18,2026-04-13T08:24:03.800Z,2026-04-13T16:24:03.800+08:00,milliTimestamp,0xa9a528c9de6c0b7da39d7ea37d222beb2d013c49,0xd49ef7def42f4633cd55cb874e016a570ea99f04,500000000000000000000000000,500000000,False,1,True,True,0xa9a528c9de6c0b7da39d7ea37d222beb2d013c49,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,1,0,54554,50000000,,unlabeled_address,tracked_global_labels_no_match,,reviewed_sender_unlabeled,tracked_global_labels_no_match,unlabeled,unlabeled,ake_2026_07_05_822_99m:inbound,ake_2026_07_05_822_99m:pre90,0xd49ef7def42f4633cd55cb874e016a570ea99f04,1,https://bscscan.com/tokentxns?a=0xd49ef7def42f4633cd55cb874e016a570ea99f04&p=1&ps=100,none,report_only,False
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0xce84315940bc64e43450adfe30242e8a1bc807984af77bc0118103a49f131c37:280,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0xce84315940bc64e43450adfe30242e8a1bc807984af77bc0118103a49f131c37,280,92262407,61,2026-04-13T08:24:44.800Z,2026-04-13T16:24:44.800+08:00,milliTimestamp,0xd49ef7def42f4633cd55cb874e016a570ea99f04,0x73d8bd54f7cf5fab43fe4ef40a62d390644946db,500000000000000000000000000,500000000,False,1,True,True,0xd49ef7def42f4633cd55cb874e016a570ea99f04,0x73d8bd54f7cf5fab43fe4ef40a62d390644946db,251,0,74192,84462154,,reviewed_sender_unlabeled,tracked_global_labels_no_match,Binance Alpha 2.0 Proxy/Custody,exchange_aggregator,config/global_address_labels.json,unlabeled,alpha_custody_or_router,ake_2026_07_05_822_99m:outbound,ake_2026_07_05_822_99m:pre90,0xd49ef7def42f4633cd55cb874e016a570ea99f04,1,https://bscscan.com/tokentxns?a=0xd49ef7def42f4633cd55cb874e016a570ea99f04&p=1&ps=100,none,report_only,False
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0xc9ff3d5273fa201e26aec971a7c80feaab009715ad3b398067446fd4318649d7:106,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0xc9ff3d5273fa201e26aec971a7c80feaab009715ad3b398067446fd4318649d7,106,92494216,18,2026-04-14T13:26:14.900Z,2026-04-14T21:26:14.900+08:00,milliTimestamp,0xa663504b771ea312afea7e91cfcf29998bf60321,0xb40b35fe21be75f6e5c0b7dabab1ec87d87a1395,100000000000000000000000,100000,False,1,True,True,0xa663504b771ea312afea7e91cfcf29998bf60321,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0,0,54542,50000000,,unlabeled_address,tracked_global_labels_no_match,,reviewed_sender_unlabeled,tracked_global_labels_no_match,unlabeled,unlabeled,ake_2026_07_04_670m:inbound,ake_2026_07_04_670m:pre90,0xb40b35fe21be75f6e5c0b7dabab1ec87d87a1395,1,https://bscscan.com/tokentxns?a=0xb40b35fe21be75f6e5c0b7dabab1ec87d87a1395&p=1&ps=100,none,report_only,False
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0x4bb9e7e0c8d87e1d526791b6db5f57b22f52058680b07ce3cad1e1541643d6b7:349,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0x4bb9e7e0c8d87e1d526791b6db5f57b22f52058680b07ce3cad1e1541643d6b7,349,92494573,62,2026-04-14T13:28:55.650Z,2026-04-14T21:28:55.650+08:00,milliTimestamp,0xb40b35fe21be75f6e5c0b7dabab1ec87d87a1395,0x73d8bd54f7cf5fab43fe4ef40a62d390644946db,100000000000000000000000,100000,False,1,True,True,0xb40b35fe21be75f6e5c0b7dabab1ec87d87a1395,0x73d8bd54f7cf5fab43fe4ef40a62d390644946db,1,0,74180,55661099,,reviewed_sender_unlabeled,tracked_global_labels_no_match,Binance Alpha 2.0 Proxy/Custody,exchange_aggregator,config/global_address_labels.json,unlabeled,alpha_custody_or_router,ake_2026_07_04_670m:outbound,ake_2026_07_04_670m:pre90,0xb40b35fe21be75f6e5c0b7dabab1ec87d87a1395,1,https://bscscan.com/tokentxns?a=0xb40b35fe21be75f6e5c0b7dabab1ec87d87a1395&p=1&ps=100,none,report_only,False
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0xa612efe71ab848d905faf1ff573ef3d86ccc11c3fc73a1ced7f9890571890be1:119,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0xa612efe71ab848d905faf1ff573ef3d86ccc11c3fc73a1ced7f9890571890be1,119,92494697,18,2026-04-14T13:29:51.950Z,2026-04-14T21:29:51.950+08:00,milliTimestamp,0xa663504b771ea312afea7e91cfcf29998bf60321,0xb40b35fe21be75f6e5c0b7dabab1ec87d87a1395,999900000000000000000000000,999900000,False,1,True,True,0xa663504b771ea312afea7e91cfcf29998bf60321,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,1,0,49766,50000000,,unlabeled_address,tracked_global_labels_no_match,,reviewed_sender_unlabeled,tracked_global_labels_no_match,unlabeled,unlabeled,ake_2026_07_04_670m:inbound,ake_2026_07_04_670m:pre90,0xb40b35fe21be75f6e5c0b7dabab1ec87d87a1395,1,https://bscscan.com/tokentxns?a=0xb40b35fe21be75f6e5c0b7dabab1ec87d87a1395&p=1&ps=100,none,report_only,False
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0x7f7b6fc424ae825046771a6b96d891ab1d6b07a3ea75bce391160a3e9337d302:334,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0x7f7b6fc424ae825046771a6b96d891ab1d6b07a3ea75bce391160a3e9337d302,334,92494927,72,2026-04-14T13:31:35.450Z,2026-04-14T21:31:35.450+08:00,milliTimestamp,0xb40b35fe21be75f6e5c0b7dabab1ec87d87a1395,0x73d8bd54f7cf5fab43fe4ef40a62d390644946db,999900000000000000000000000,999900000,False,1,True,True,0xb40b35fe21be75f6e5c0b7dabab1ec87d87a1395,0x73d8bd54f7cf5fab43fe4ef40a62d390644946db,2,0,74204,56110407,,reviewed_sender_unlabeled,tracked_global_labels_no_match,Binance Alpha 2.0 Proxy/Custody,exchange_aggregator,config/global_address_labels.json,unlabeled,alpha_custody_or_router,ake_2026_07_04_670m:outbound,ake_2026_07_04_670m:pre90,0xb40b35fe21be75f6e5c0b7dabab1ec87d87a1395,1,https://bscscan.com/tokentxns?a=0xb40b35fe21be75f6e5c0b7dabab1ec87d87a1395&p=1&ps=100,none,report_only,False
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0xb1231eb9ddb3445f9f43cf7939a35c164898295544e520d6b75c3d4938906300:80,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0xb1231eb9ddb3445f9f43cf7939a35c164898295544e520d6b75c3d4938906300,80,92641894,15,2026-04-15T07:54:54.300Z,2026-04-15T15:54:54.300+08:00,milliTimestamp,0xd9f95c95ad29c4a7a0e895b589b3a1363aee3bea,0xb40b35fe21be75f6e5c0b7dabab1ec87d87a1395,1010998104620000000000000000,1010998104.62,False,1,True,True,0xd9f95c95ad29c4a7a0e895b589b3a1363aee3bea,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0,0,49766,50000000,,unlabeled_address,tracked_global_labels_no_match,,reviewed_sender_unlabeled,tracked_global_labels_no_match,unlabeled,unlabeled,ake_2026_07_04_670m:inbound,ake_2026_07_04_670m:pre90,0xb40b35fe21be75f6e5c0b7dabab1ec87d87a1395,1,https://bscscan.com/tokentxns?a=0xb40b35fe21be75f6e5c0b7dabab1ec87d87a1395&p=1&ps=100,none,report_only,False
